iter	RMSE
252	41.18466074
253	41.13789116
254	41.06838832
255	41.03910133
256	41.00233537
257	40.9836837
258	40.92725039
259	40.90427239
260	40.87775483
261	40.83222599
262	40.78668462
263	40.75997682
264	40.71967632
265	40.68817337
266	40.64618568
267	40.59817007
268	40.5751413
269	40.55051669
270	40.50443264
271	40.47378259
272	40.44025157
273	40.40948899
274	40.35708555
275	40.32256231
276	40.26763251
277	40.22003019
278	40.17835752
279	40.1225425
280	40.04991789
281	40.01841458
282	39.96585589
283	39.92306601
284	39.88222368
285	39.8532876
286	39.81654233
287	39.77289078
288	39.7295524
289	39.69572971
290	39.66834487
291	39.64238773
292	39.60032772
293	39.562974
294	39.54308622
295	39.50483934
296	39.47251739
297	39.45326168
298	39.41803232
299	39.37756149
300	39.35388686
301	39.32286451
302	39.29478527
303	39.25894568
304	39.21585143
305	39.18062205
306	39.15221949
307	39.11330376
308	39.07992775
309	39.05583424
310	39.02398004
311	38.97330972
312	38.95068423
313	38.92578425
314	38.88699343
315	38.85365292
316	38.82958039
317	38.80594872
318	38.78371461
319	38.75940331
320	38.74136149
321	38.71221751
322	38.69002719
323	38.65214888
324	38.61414087
325	38.59146193
326	38.56762142
327	38.53792326
328	38.50852383
329	38.48772739
330	38.46556418
331	38.4347317
332	38.37059633
333	38.33542767
334	38.29925461
335	38.27852166
336	38.25913971
337	38.2181574
338	38.19045281
339	38.15526465
340	38.11766923
341	38.09587811
342	38.06350773
343	38.0288312
344	38.00149579
345	37.98469292
346	37.95359718
347	37.92731205
348	37.90956603
349	37.88412706
350	37.85913647
351	37.84009479
352	37.82730279
353	37.80993746
354	37.77925259
355	37.75318482
356	37.73591379
357	37.70928727
358	37.68287739
359	37.6423005
360	37.60139911
361	37.58630471
362	37.56236895
363	37.53302062
364	37.51532116
365	37.49101942
366	37.46710884
367	37.43917961
368	37.41976658
369	37.39681835
370	37.36991042
371	37.3511047
372	37.33956604
373	37.29895304
374	37.26468831
375	37.24613461
376	37.2141015
377	37.18796489
378	37.16464482
379	37.12546167
380	37.10312936
381	37.07721746
382	37.04979969
383	37.0282947
384	37.00216998
385	36.97517504
386	36.93098278
387	36.90966392
388	36.88443714
389	36.86032186
390	36.84274035
391	36.82613377
392	36.80197047
393	36.77869039
394	36.76307074
395	36.73976509
396	36.7051992
397	36.68788243
398	36.6728547
399	36.6593786
400	36.63040789
401	36.614211
402	36.60143922
403	36.57078684
404	36.53950676
405	36.51002361
406	36.4913337
407	36.46866234
408	36.44974777
409	36.41645369
410	36.40141112
411	36.38376996
412	36.36371136
413	36.3494455
414	36.33112493
415	36.31701145
416	36.29715005
417	36.26279098
418	36.24916906
419	36.20783791
420	36.18850768
421	36.17345534
422	36.14774721
423	36.13067717
424	36.11630263
425	36.09128147
426	36.07269522
427	36.03732873
428	36.02215941
429	36.00133846
430	35.97947784
431	35.95730092
432	35.9433737
433	35.92371639
434	35.90834104
435	35.88573831
436	35.86118818
437	35.85074101
438	35.83460127
439	35.8117577
440	35.77103518
441	35.75051394
442	35.73526961
443	35.72009928
444	35.69971751
445	35.68218493
446	35.66642249
447	35.63529107
448	35.60817844
449	35.58708948
450	35.54712826
451	35.52937943
452	35.51338403
453	35.50163796
454	35.47894141
455	35.46044186
456	35.44645701
457	35.42204242
458	35.39680251
459	35.37894493
460	35.36136435
461	35.33876163
462	35.31609062
463	35.29013887
464	35.27020289
465	35.25667913
466	35.23989567
467	35.21941612
468	35.20457052
469	35.17938378
470	35.15943968
471	35.14904776
472	35.12875088
473	35.11810821
474	35.09852173
475	35.08215655
476	35.04988581
477	35.03659775
478	35.00289336
479	34.98451171
480	34.96545065
481	34.94852656
482	34.92971172
483	34.9180709
484	34.9013401
485	34.88451956
486	34.86442729
487	34.81495725
488	34.79240353
489	34.78055221
490	34.74820146
491	34.73122248
492	34.68360359
493	34.66639522
494	34.64242974
495	34.61063064
496	34.5946048
497	34.5763881
498	34.54986644
499	34.51975959
500	34.49667087
501	34.47640507
502	34.45777139
503	34.44090117
504	34.41324763
505	34.38959322
506	34.36182711
507	34.34406359
508	34.3274218
509	34.30479419
510	34.27529695
511	34.2551665
512	34.23880874
513	34.22521225
514	34.20098918
515	34.18346164
516	34.16344385
517	34.14771316
518	34.13639211
519	34.11011599
520	34.09163775
521	34.08347365
522	34.06936638
523	34.05073234
524	34.03228234
525	34.02114736
526	34.01485605
527	34.00458928
528	33.97901122
529	33.96552904
530	33.94806018
531	33.93360402
532	33.92588085
533	33.91615307
534	33.89895978
535	33.88737624
536	33.85657939
537	33.84185057
538	33.83272761
539	33.80595772
540	33.79220473
541	33.75373536
542	33.7250034
543	33.7120919
544	33.69768533
545	33.68505847
546	33.66074335
547	33.63741228
548	33.62642399
549	33.61349713
550	33.60033262
551	33.58888016
552	33.56625829
553	33.5526019
554	33.53117453
555	33.52296487
556	33.50968355
557	33.49581966
558	33.47550704
559	33.45623198
560	33.43858012
561	33.42892486
562	33.42037714
563	33.40004084
564	33.38726033
565	33.363703
566	33.34192226
567	33.33146531
568	33.32029944
569	33.28618387
570	33.26857956
571	33.25959417
572	33.25042458
573	33.23787721
574	33.22799219
575	33.21204358
576	33.20432695
577	33.1922489
578	33.18265625
579	33.17050127
580	33.15893957
581	33.1452899
582	33.13810896
583	33.12156397
584	33.1063824
585	33.09633743
586	33.08108953
587	33.07142501
588	33.05829085
589	33.04711043
590	33.03380324
591	33.0178443
592	33.00610899
593	32.99053718
594	32.97494182
595	32.96406797
596	32.93290495
597	32.92447142
598	32.91513564
599	32.9018042
600	32.89133928
601	32.87866065
602	32.85463426
603	32.83014814
604	32.80631239
605	32.77995542
606	32.76733565
607	32.74701346
608	32.72727878
609	32.70953806
610	32.7013272
611	32.69044484
612	32.67768657
613	32.66834833
614	32.65147956
615	32.64592814
616	32.63380591
617	32.61872232
618	32.61173335
619	32.59298224
620	32.5800502
621	32.56958026
622	32.55624737
623	32.53275054
624	32.52360701
625	32.50637398
626	32.48423403
627	32.47054676
628	32.45151756
629	32.43780066
630	32.427051
631	32.41062414
632	32.39359031
633	32.38294967
634	32.37084296
635	32.35725047
636	32.33721982
637	32.32443016
638	32.31189292
639	32.29325812
640	32.27059096
641	32.25693831
642	32.2424873
643	32.23207038
644	32.2104705
645	32.19810246
646	32.19107798
647	32.17964481
648	32.17334224
649	32.16092959
650	32.1453457
651	32.1309432
652	32.11935936
653	32.10724933
654	32.09438345
655	32.08544117
656	32.06458623
657	32.05239723
658	32.03328141
659	32.016437
660	32.00376321
661	31.98542232
662	31.97699953
663	31.96808296
664	31.95121922
665	31.93544829
666	31.92059488
667	31.90195554
668	31.88137663
669	31.87435458
670	31.86841836
671	31.85002217
672	31.83632906
673	31.82319185
674	31.79808678
675	31.78988618
676	31.77822829
677	31.77216821
678	31.76561839
679	31.75258371
680	31.74368345
681	31.73058522
682	31.71416635
683	31.70861733
684	31.69448819
685	31.68337652
686	31.67411055
687	31.65012526
688	31.64115283
689	31.62721054
690	31.62045393
691	31.61204422
692	31.59818954
693	31.58525726
694	31.56669617
695	31.5448302
696	31.53193018
697	31.52279167
698	31.50882076
699	31.49692155
700	31.4882686
701	31.47987288
702	31.472086
703	31.46097798
704	31.45575312
705	31.45230872
706	31.4394976
707	31.43373752
708	31.42085008
709	31.41367878
710	31.40667397
711	31.39785579
712	31.38632873
713	31.37416
714	31.35982124
715	31.34525569
716	31.32711052
717	31.31176891
718	31.2988114
719	31.27328845
720	31.26840132
721	31.24931641
722	31.23841475
723	31.22332766
724	31.21342511
725	31.20368944
726	31.18423423
727	31.17778889
728	31.17175113
729	31.16410967
730	31.15626046
731	31.13601302
732	31.1225947
733	31.11247277
734	31.10873468
735	31.09918269
736	31.09545631
737	31.08734738
738	31.07118536
739	31.06084405
740	31.04840672
741	31.03523872
742	31.01572363
743	31.004566
744	30.99213129
745	30.97742294
746	30.9704354
747	30.95887502
748	30.94807815
749	30.93894102
750	30.93016926
751	30.92246145
752	30.90507661
753	30.88349366
754	30.87763523
755	30.86811542
756	30.86037521
757	30.85227338
758	30.83921244
759	30.82778768
760	30.81456132
761	30.79693049
762	30.79288289
763	30.78509954
764	30.77767272
765	30.77229005
766	30.76466106
767	30.75395262
768	30.73758857
769	30.72659509
770	30.71404697
771	30.70798083
772	30.69788142
773	30.68956319
774	30.67793477
775	30.66873902
776	30.66063552
777	30.65603993
778	30.64769835
779	30.63485658
780	30.61749758
781	30.6045722
782	30.59764907
783	30.59065304
784	30.57957032
785	30.57107938
786	30.55429475
787	30.54001704
788	30.53127518
789	30.51709236
790	30.51373971
791	30.50349347
792	30.49618082
793	30.47870095
794	30.47188646
795	30.46033069
796	30.44609191
797	30.43733079
798	30.42359271
799	30.40244508
800	30.3824085
801	30.37500974
802	30.35824712
803	30.35089465
804	30.34320142
805	30.3384323
806	30.33302444
807	30.33127502
808	30.3245879
809	30.31669812
810	30.30931734
811	30.2956924
812	30.2868995
813	30.27517537
814	30.26000033
815	30.24737341
816	30.23510383
817	30.22817824
818	30.21742252
819	30.20271758
820	30.18945037
821	30.1696837
822	30.16779155
823	30.15799293
824	30.15406165
825	30.14198513
826	30.12778198
827	30.12013555
828	30.11094497
829	30.10176355
830	30.09482076
831	30.08908821
832	30.07846153
833	30.06847391
834	30.05374135
835	30.04539653
836	30.03668475
837	30.02951659
838	30.01566196
839	30.00144511
840	29.98452673
841	29.98198405
842	29.97077959
843	29.9629467
844	29.95619419
845	29.94934261
846	29.93314129
847	29.92594345
848	29.91161133
849	29.89878621
850	29.89412642
851	29.87818943
852	29.87110458
853	29.8659596
854	29.85624162
855	29.83995161
856	29.83146285
857	29.82416535
858	29.81518049
859	29.80996123
860	29.80632441
861	29.79556871
862	29.79090295
863	29.7831683
864	29.77497302
865	29.76878118
866	29.75660413
867	29.7516305
868	29.73584018
869	29.72868755
870	29.72136826
871	29.70947901
872	29.70650748
873	29.6891435
874	29.67986671
875	29.66919735
876	29.66132221
877	29.65335637
878	29.64716829
879	29.63764448
880	29.62797708
881	29.61927963
882	29.61325191
883	29.60530574
884	29.59571115
885	29.58736357
886	29.58142151
887	29.57485968
888	29.56584696
889	29.55534809
890	29.5395224
891	29.53226326
892	29.52502194
893	29.51468728
894	29.50866275
895	29.49900646
896	29.49087726
897	29.48245829
898	29.47247119
899	29.4662673
900	29.46045182
901	29.44750962
902	29.43305996
903	29.42249895
904	29.41622368
905	29.4119473
906	29.40428811
907	29.39214744
908	29.38635791
909	29.38335149
910	29.37752267
911	29.36974843
912	29.36341502
913	29.35597603
914	29.3486861
915	29.33294577
916	29.32703894
917	29.31929143
918	29.3124007
919	29.30928224
920	29.30270332
921	29.29392838
922	29.28782693
923	29.27779533
924	29.26213353
925	29.25754243
926	29.25116471
927	29.24078129
928	29.2319542
929	29.22046601
930	29.21098982
931	29.20126949
932	29.19712118
933	29.19170039
934	29.18118775
935	29.17119265
936	29.15777372
937	29.1438716
938	29.13208686
939	29.11993764
940	29.10632355
941	29.10489959
942	29.08996562
943	29.08422419
944	29.07116513
945	29.0628806
946	29.05410855
947	29.04776577
948	29.04226839
949	29.03975107
950	29.03033628
951	29.01816565
952	29.01025181
953	28.99912635
954	28.98987084
955	28.98481352
956	28.97979813
957	28.97734598
958	28.96860389
959	28.96171303
960	28.95201128
961	28.94613038
962	28.93990648
963	28.92955761
964	28.91986933
965	28.91661233
966	28.91100264
967	28.9063172
968	28.90087048
969	28.895619
970	28.88870483
971	28.88188533
972	28.87026883
973	28.86072154
974	28.85865319
975	28.85150369
976	28.83918633
977	28.82879301
978	28.82597022
979	28.81311363
980	28.80604285
981	28.80434642
982	28.79673951
983	28.79483209
984	28.79115383
985	28.78123081
986	28.77528003
987	28.7701374
988	28.75564502
989	28.74695117
990	28.73775404
991	28.72576974
992	28.71535758
993	28.70614806
994	28.69283292
995	28.68117696
996	28.67489049
997	28.66262514
998	28.65607782
999	28.64914211
